conversation_id,brand,customer_message,historical_support_response,timestamp,conversation_context,customer_author,support_author,parent_tweet_id,response_tweet_id,conversation_length,is_dm_redirect
780238b2e6c5,spotifycares,Trying to play Winnerbäck on either iPhone or iPad doesnt work. Nothing happens when I click song or shuffle.,Got it. Does logging out &gt; restarting your device &gt; logging back in again make any difference? /KM,Thu Oct 19 14:56:20 +0000 2017,[support]: Hey Robbie! Help's here. Can you let us know what's happening exactly? Are you getting any error messages? We'll see what we can suggest /KM,321347,SpotifyCares,847176.0,847174,3,False
5a3f261b36e5,spotifycares,The band is called Reparata &amp; The Delrons. URI for Reparata: 7pjiMmGVz6Fz9UrHVrSzt3 URI for The Delrons: 1NPWF3RbUvsf767H6exKUH URI for the album that should be connected to this artist(s): 1HaWPkbjzmSBDUPX0Otrgz Hopefully this helps.,Perfect. We'll get this reported. Great detective work! [URL] /JI,Wed Nov 15 16:40:54 +0000 2017,[customer]: the names of the artist and release have been mixed up for years. Is it possible to correct them? [URL] | [support]: Hi there! Thanks for reporting. Can you send us over the URI's of the artist's pages and the albums that should be on separate pages? Just right-click the track &gt; Share &gt; URI. We'll take a look backstage 🔍 /JI,710103,SpotifyCares,2485950.0,2485953,4,False
a8d9f30bb469,spotifycares,you charged my account for premium but I'm still listening like a peasant 😒,"Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO [URL]",Fri Nov 03 21:09:46 +0000 2017,,591970,SpotifyCares,nan,2001945,2,True
72c0df7b6e6b,spotifycares,@116130 hey why are you charging me 9.99 a month now when i'm still a student!?,"Hey Laura, the calvary's here! Can you DM us your account's email address and username? We'll take a look backstage /MX [URL]",Tue Oct 10 16:11:29 +0000 2017,,619280,SpotifyCares,nan,2096171,2,True
a79debcef642,spotifycares,ho la con de tes morts help me I need help,"Hi there! We can help out in English via Twitter, but we also have French support via email at [URL] /MU",Tue Oct 17 07:02:21 +0000 2017,,486186,SpotifyCares,1578726.0,1578720,2,False
a1e30afb0708,spotifycares,Why are none of @33680's songs playing on spotify. Only music that features Aldean is playing.,"Hi Jacob! Help's arrived. Are you getting any specific errors when trying to play his tracks? If so, a screenshot will be really handy /CP",Wed Oct 11 14:44:29 +0000 2017,,536544,SpotifyCares,nan,1785811,2,False
f68a2e1df5d2,spotifycares,well while u're there I'm having trouble with my WiFi and also some of the oven hob rings don't fully light and I feel kinda listless.,We'd recommend reaching out to the Artist Support team. They should be able to help out! DM us your email address &amp; we'll chase it up /SP [URL],Tue Oct 31 15:09:52 +0000 2017,"[support]: Hey! You can contact our Artist team here: [URL] If you've reached out, DM us your email address &amp; we'll chase it up /K [URL] | [customer]: thank you :) x | [support]: No worries, we're always happy to help! We'll be here if you need us again /SP",570028,SpotifyCares,1913671.0,1913674,5,True
992cb90fa09b,spotifycares,"I got an emailed offer to get premium for one year for $99 but when I try to buy it, it says I’m not eligible",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ [URL],Sat Dec 02 14:50:47 +0000 2017,,251949,SpotifyCares,nan,563511,2,True
4991320caa39,spotifycares,why will some of my playlists play but not others,"Hey there! Are you getting any error messages when trying to play them? If so, a screenshot would be helpful /RI",Mon Oct 16 00:56:35 +0000 2017,,408516,SpotifyCares,nan,1230177,2,False
86499b81ad45,spotifycares,I tried it on my #lumia650 and it still does the same thing randomly.,Will it be possible if you can log in to a non-Windows 10 device? Give us a shout if you get the same error /SJ,Tue Oct 10 18:31:51 +0000 2017,"[support]: Thanks for the info. Can you try reinstalling the app and see if it makes a difference? Keep us posted /LM | [customer]: Tried that, didn't seem to help. The problem seems to happen when resuming the App after being away from it and another App has used sound. | [support]: Hmm, can you try using a different Windows 10 phone and see if the issue persists? Keep us posted /LM",177704,SpotifyCares,259457.0,259459,5,False
